timestamp,filesize,resource,duration
1355959284.03,1024,AGLT2_CE_2_FTP,0.509229898453
1355959284.54,1024,USCMS-FNAL-WC1-CE3_F,-
1355959285.04,2048,UFlorida-SSERCA_FTP,-
1355959285.54,2048,FNAL_FERMIGRID_FTP,0.496154069901
1355959286.04,2048,SPRACE_FTP,0.502753973007
1355959286.54,2048,NYSGRID_CORNELL_NYS1,-
1355959287.05,2048,Purdue-Steele_FTP,0.517179012299
1355959287.57,2048,MIT_CMS_CE2_FTP,0.511682987213
1355959288.08,2048,UTA_SWT2_FTP,0.493304014206
1355959288.57,2048,SWT2_CPB_FTP,-
1355959289.07,2048,AGLT2_CE_2_FTP,0.499541044235
1355959289.57,2048,USCMS-FNAL-WC1-CE3_F,-
1355959290.07,4096,UFlorida-SSERCA_FTP,-
1355959290.4,4096,FNAL_FERMIGRID_FTP,-
1355959290.72,4096,SPRACE_FTP,-
1355959291.03,4096,NYSGRID_CORNELL_NYS1,-
1355959291.34,4096,Purdue-Steele_FTP,-
1355959291.66,4096,MIT_CMS_CE2_FTP,-
1355959291.97,4096,UTA_SWT2_FTP,-
1355959292.3,4096,SWT2_CPB_FTP,-
1355959292.73,4096,AGLT2_CE_2_FTP,-
1355959293.04,4096,USCMS-FNAL-WC1-CE3_F,-
